trigger,fluence_ch1,err_ch1,fluence_ch2,err_ch2,fluence_ch3,err_ch3,fluence_ch4,err_ch4,peak_flux_64ms,err_flux_64ms,time_flux_64ms,peak_flux_256ms,err_flux_256ms,time_flux_256ms,peak_flux_1024ms,err_flux_1024ms,time_flux_1024ms
7560.0,3.2509e-06,3.7862e-08,3.9237e-06,3.2703e-08,8.0432e-06,7.7607e-08,5.3961e-06,6.1804e-07,11.2834,0.3629,47.552,10.1948,0.1735,47.872,8.1657,0.0799,48.384
7563.0,2.5986e-08,7.107e-09,4.2723e-08,5.9309e-09,3.0004e-07,1.9829e-08,2.09e-07,2.0083e-07,1.0812,0.2012,1.6,0.9133,0.0975,0.832,0.7664,0.048,0.832
7564.0,2.7982e-07,1.596e-08,2.9591e-07,1.2619e-08,3.7945e-07,3.5105e-08,0.0,3.5759e-07,2.3965,0.2551,0.384,1.9794,0.1236,0.576,1.6357,0.06,0.96
7566.0,5.0595e-07,2.3462e-08,3.194e-07,1.9426e-08,1.0287e-06,5.3544e-08,2.4159e-06,7.2002e-07,1.0919,0.1871,15.104,0.9944,0.0928,15.232,0.8385,0.0462,16.0
7567.0,2.6633e-07,1.0628e-08,2.4404e-07,9.6263e-09,3.2388e-07,2.645e-08,0.0,2.5739e-07,2.574,0.2236,0.32,2.3721,0.1116,0.448,1.8391,0.0534,0.896
7568.0,1.3368e-07,1.4101e-08,1.1188e-07,1.2006e-08,3.2314e-07,3.4694e-08,1.6908e-06,6.6002e-07,0.6975,0.1909,0.192,0.6143,0.0948,0.192,0.5168,0.0462,0.704
7573.0,3.2703e-07,1.8717e-08,2.4145e-07,1.4723e-08,5.5094e-07,3.5799e-08,1.796e-06,5.4057e-07,1.1137,0.2003,-0.064,0.9192,0.098,1.6,0.8401,0.0484,1.92
7575.0,8.1266e-06,7.0462e-08,1.0211e-05,5.6148e-08,5.8682e-05,1.9204e-07,0.00017858,2.6358e-06,19.7903,0.5212,160.128,19.1479,0.2549,160.256,15.795,0.1168,160.64
7576.0,1.6429e-07,2.6045e-08,1.891e-07,1.8496e-08,5.129e-07,6.0966e-08,2.3189e-06,1.1063e-06,0.4898,0.1805,-0.768,0.3521,0.0872,-0.768,0.2891,0.0437,-0.128
7579.0,7.5503e-08,1.6559e-08,3.0145e-07,1.7717e-08,1.1731e-06,5.1695e-08,3.1713e-07,3.3372e-07,1.5446,0.253,9.792,1.396,0.1237,6.4,0.9895,0.06,8.64
7580.0,3.2796e-07,1.9853e-08,2.3837e-07,1.4214e-08,2.5142e-07,3.9529e-08,4.3581e-07,5.7686e-07,0.7085,0.1878,-1.024,0.5527,0.0921,-0.256,0.4517,0.0454,-0.064
7581.0,7.0974e-09,3.8012e-09,2.5718e-08,5.1259e-09,2.437e-07,1.7332e-08,1.0937e-06,2.2641e-07,0.9594,0.1873,0.512,0.7795,0.0914,0.64,0.655,0.0446,0.64
7584.0,1.6948e-09,2.8572e-09,4.5052e-09,3.0965e-09,3.3357e-08,9.4887e-09,7.458e-08,1.1799e-07,1.9198,0.2201,0.0,0.4729,0.0889,0.064,0.1565,0.0421,0.576
7587.0,9.7979e-08,2.0243e-08,1.89e-07,1.7172e-08,2.2509e-07,4.6215e-08,5.3182e-07,5.7037e-07,0.5851,0.179,-0.96,0.3682,0.0868,-0.96,0.2931,0.0429,-0.192
7588.0,1.1619e-06,2.5906e-08,1.0097e-06,1.7627e-08,1.7375e-06,5.1898e-08,2.8585e-06,7.1367e-07,2.3203,0.2347,2.816,2.0858,0.1155,2.816,1.9782,0.0584,2.816
7595.0,7.4346e-09,3.1824e-09,1.9067e-08,3.5953e-09,5.9685e-08,9.695e-09,3.1411e-08,7.7405e-08,1.8781,0.2154,0.128,1.3402,0.1021,0.128,0.3987,0.0442,0.576
7597.0,5.2112e-07,5.0575e-08,5e-07,3.7742e-08,1.6839e-06,1.1618e-07,3.4771e-06,1.6295e-06,0.9186,0.1765,1.408,0.8661,0.0889,2.944,0.7344,0.0433,1.6
7598.0,1.1766e-06,2.261e-08,1.0699e-06,1.8594e-08,2.045e-06,4.5435e-08,2.9889e-07,3.2362e-07,3.0404,0.2322,7.296,2.742,0.1137,7.296,2.3412,0.0551,7.616
7599.0,1.0165e-08,4.7544e-09,3.6482e-08,5.0867e-09,2.1717e-07,1.4625e-08,1.3572e-06,1.9614e-07,2.5176,0.2375,0.128,1.7514,0.1069,0.256,0.9646,0.0475,0.704
7601.0,6.1151e-09,3.4287e-09,1.4796e-08,3.5444e-09,1.1601e-07,1.0779e-08,1.2283e-07,9.5139e-08,2.1264,0.2251,0.064,1.6549,0.1078,0.128,0.5429,0.0469,0.576
7602.0,3.7575e-09,2.767e-09,1.5183e-08,3.1138e-09,2.5378e-08,8.5478e-09,2.2499e-07,1.3076e-07,3.2646,0.2361,0.0,1.1261,0.0927,0.064,0.2129,0.0388,0.512
7603.0,1.2406e-07,1.4974e-08,1.4435e-07,1.4106e-08,3.2814e-07,4.0787e-08,0.0,4.558e-07,1.5177,0.2516,-0.32,1.232,0.1245,-0.128,1.1049,0.0614,0.512
