trigger,fluence_ch1,err_ch1,fluence_ch2,err_ch2,fluence_ch3,err_ch3,fluence_ch4,err_ch4,peak_flux_64ms,err_flux_64ms,time_flux_64ms,peak_flux_256ms,err_flux_256ms,time_flux_256ms,peak_flux_1024ms,err_flux_1024ms,time_flux_1024ms,name,burst_id,tjd,time_sec,ra_deg,dec_deg,gal_lon,gal_lat,error_radius,geocenter_angle,overwrite_flag,overwritten_flag,jd,datetime
229.0,4.4308e-09,1.7163e-09,1.1202e-08,2.4303e-09,5.4209e-08,7.2257e-09,6.6156e-08,6.9113e-08,1.085,0.22,0.0,0.674,0.102,0.192,0.288,0.045,0.448,4B,910526,8402.0,16750.123,30.54,-50.71,277.99,-62.86,6.4,116.73,Y,N,2448402.5,1991-05-26 04:39:10.123
235.0,1.513e-07,1.6989e-08,2.1635e-07,1.812e-08,9.7628e-07,6.5089e-08,1.6195e-06,3.5283e-07,0.719,0.244,1.536,0.552,0.121,1.664,0.405,0.058,2.432,4B,910528,8404.0,77215.339,240.59,43.97,69.65,48.37,2.98,146.78,N,N,2448404.5,1991-05-28 21:26:55.339
237.0,6.7389e-08,1.2327e-08,8.2897e-08,1.4072e-08,3.8104e-07,2.7795e-08,3.8164e-07,2.955e-07,0.967,0.252,-0.128,0.825,0.123,-0.064,0.639,0.061,0.768,4B,910529,8405.0,63360.875,205.43,-27.4,316.43,34.15,3.32,130.49,N,N,2448405.5,1991-05-29 17:36:00.875
249.0,6.4429e-06,3.6007e-08,1.2132e-05,3.7487e-08,4.2087e-05,8.5406e-08,8.9605e-05,5.371e-07,35.696,0.814,21.312,34.621,0.403,21.376,31.66,0.19,22.08,4B,910601,8408.0,69734.507,310.12,32.34,73.92,-5.77,0.17,109.62,N,N,2448408.5,1991-06-01 19:22:14.507
254.0,1.1875e-08,1.6056e-08,1.5741e-08,1.4111e-08,1.5703e-07,6.0678e-07,1.0978e-06,6.0678e-07,1.545,0.272,0.0,1.319,0.131,0.064,0.483,0.057,0.512,4B,910602C,8409.0,43589.483,288.64,48.62,79.64,16.43,4.72,159.72,Y,N,2448409.5,1991-06-02 12:06:29.483
257.0,7.9986e-07,1.8309e-08,1.2911e-06,2.5601e-08,4.1876e-06,6.2867e-08,3.0458e-05,9.1037e-07,1.866,0.287,1.088,1.711,0.141,1.28,1.493,0.069,1.28,4B,910602,8409.0,82501.035,142.76,53.99,162.39,44.79,2.06,95.7,N,N,2448409.5,1991-06-02 22:55:01.035
269.0,6.8059e-08,6.2858e-09,1.0496e-07,6.7468e-09,4.0408e-07,2.3767e-08,2.2526e-07,1.4104e-07,1.574,0.251,0.384,1.367,0.125,0.384,1.143,0.06,0.832,4B,910604,8411.0,75654.507,29.47,-35.25,246.84,-73.67,4.93,98.36,N,N,2448411.5,1991-06-04 21:00:54.507
288.0,3.0921e-07,2.4349e-08,3.1707e-07,2.1023e-08,5.4802e-07,1.1593e-06,4.2687e-06,1.1593e-06,0.659,0.204,-1.408,0.519,0.101,-1.216,0.397,0.05,-1.024,4B,910607B,8414.0,727.659,78.76,-9.36,210.45,-25.64,4.04,160.88,N,N,2448414.5,1991-06-07 00:12:07.659
289.0,5.2673e-10,1.1284e-09,3.6352e-09,1.3682e-09,2.9896e-08,4.6738e-09,6.2825e-08,6.0895e-08,1.607,0.253,-0.128,0.51,0.105,0.0,0.163,0.047,0.256,4B,910607,8414.0,16261.227,146.76,52.27,163.75,47.58,7.55,52.82,N,N,2448414.5,1991-06-07 04:31:01.227
297.0,1.4867e-08,3.9478e-09,3.3207e-08,3.0735e-09,1.553e-07,7.8882e-09,8.6784e-07,1.0177e-07,2.979,0.316,0.256,2.19,0.142,0.256,0.8,0.055,0.32,4B,910608,8415.0,83640.683,239.12,-62.25,322.73,-6.72,7.52,91.97,Y,N,2448415.5,1991-06-08 23:14:00.683
298.0,1.3681e-07,5.6766e-09,2.4541e-07,6.5185e-09,1.1921e-06,1.6566e-08,4.7116e-06,1.1955e-07,56.127,1.224,0.0,22.047,0.385,0.128,6.175,0.114,0.704,4B,910609,8416.0,2907.115,103.08,-12.07,223.8,-5.27,1.48,126.51,N,Y,2448416.5,1991-06-09 00:48:27.115
332.0,5.1098e-07,1.6855e-08,8.879e-07,1.7012e-08,1.9133e-06,5.0136e-08,7.095e-07,3.029e-07,1.238,0.225,3.264,1.188,0.11,3.072,1.127,0.054,3.264,4B,910612,8419.0,31755.883,337.07,15.42,79.39,-35.08,1.11,140.82,N,N,2448419.5,1991-06-12 08:49:15.883
351.0,3.6229e-06,6.4732e-08,3.799e-06,5.7367e-08,9.1375e-06,1.5328e-07,1.8439e-05,1.4465e-06,1.45,0.258,41.792,1.226,0.126,41.92,1.22,0.062,42.24,4B,910614B,8421.0,6864.491,174.75,-12.95,276.96,46.23,1.95,92.05,N,N,2448421.5,1991-06-14 01:54:24.491
353.0,4.624e-10,2.9195e-09,2.0149e-08,4.6274e-09,2.8728e-08,1.109e-08,4.0365e-09,6.3873e-08,1.719,0.274,0.0,0.962,0.124,0.192,0.27,0.055,0.32,4B,910614,8421.0,35246.955,20.06,-13.44,150.53,-74.75,5.4,99.26,N,N,2448421.5,1991-06-14 09:47:26.955
373.0,3.2774e-09,6.6443e-09,1.0944e-08,8.1095e-09,2.0065e-07,1.7344e-08,6.1125e-08,1.0108e-07,1.089,0.267,0.0,0.644,0.129,0.128,0.523,0.063,0.128,4B,910616,8423.0,38364.779,356.72,-1.21,89.38,-59.81,3.85,68.35,N,N,2448423.5,1991-06-16 10:39:24.779
394.0,5.9717e-06,5.6132e-08,6.8778e-06,4.6539e-08,2.434e-05,1.4209e-07,3.4792e-05,1.2239e-06,5.105,0.376,23.232,4.777,0.181,23.296,4.056,0.086,23.616,4B,910619,8426.0,51272.811,21.17,-36.57,268.28,-78.22,0.79,113.79,N,N,2448426.5,1991-06-19 14:14:32.811
398.0,6.2871e-07,2.3534e-08,9.1102e-07,2.8172e-08,2.3802e-06,7.1682e-08,2.0301e-06,4.2622e-07,2.031,0.382,0.448,1.714,0.186,0.448,1.536,0.092,1.216,4B,910620,8427.0,20250.411,67.92,22.5,175.4,-17.25,1.75,132.55,N,N,2448427.5,1991-06-20 05:37:30.411
401.0,2.2569e-08,5.9371e-09,4.2382e-08,6.3926e-09,1.0128e-07,2.086e-08,3.3743e-08,1.3858e-07,0.418,0.24,-1.024,0.333,0.115,-1.024,0.24,0.056,-0.512,4B,910620B,8427.0,66168.427,65.81,65.97,142.3,11.43,9.78,124.25,N,N,2448427.5,1991-06-20 18:22:48.427
404.0,7.2018e-07,2.1901e-08,1.001e-06,2.507e-08,1.8912e-06,4.552e-08,1.6119e-06,5.1256e-07,1.218,0.23,34.112,1.006,0.111,34.24,0.827,0.054,34.944,4B,910621B,8428.0,7037.547,326.87,-8.44,47.33,-42.73,2.76,87.32,N,N,2448428.5,1991-06-21 01:57:17.547
408.0,9.7329e-07,3.2542e-08,1.8275e-06,4.1373e-08,3.0124e-06,1.0178e-07,6.2688e-07,6.3294e-07,1.575,0.269,0.64,1.435,0.131,23.104,1.208,0.063,23.168,4B,910621,8428.0,58604.907,226.92,-12.44,347.22,38.45,1.71,77.65,N,N,2448428.5,1991-06-21 16:16:44.907
414.0,1.5298e-07,1.6944e-08,1.1744e-07,1.3366e-08,2.59e-07,2.9751e-08,6.6292e-08,2.819e-07,1.051,0.228,-0.896,1.013,0.112,-0.768,0.641,0.052,-0.576,4B,910622,8429.0,59643.499,8.46,-32.8,335.75,-83.16,4.89,163.92,N,N,2448429.5,1991-06-22 16:34:03.499
432.0,5.037e-09,9.3162e-10,9.6922e-09,1.4265e-09,7.2313e-08,4.0178e-09,6.2209e-07,1.0159e-07,4.976,0.401,0.0,1.336,0.145,0.064,0.374,0.064,0.896,4B,910625,8432.0,19714.027,317.61,52.91,93.17,3.31,4.44,95.02,N,Y,2448432.5,1991-06-25 05:28:34.027
