time_relative_to_merger_sec,ligo_strain,bruno_flash_strain
-0.09103777723451145,1.4255353351319567e-19,7.10114447175627e-43
-0.09079363474685209,1.738543137691423e-19,8.864365699486684e-43
-0.09054949225919273,2.010528177621159e-19,1.1058801375297546e-42
-0.09030534977153337,1.5999131145624344e-19,1.3788262035642751e-42
-0.09006120728387401,1.4011911564566419e-19,1.7181143919519383e-42
-0.08981706479621465,1.9164437612807553e-19,2.1396153274464875e-42
-0.08957292230855529,2.070201541525615e-19,2.6629339960985954e-42
-0.08932877982089593,1.754943446570178e-19,3.312273430465192e-42
-0.08908463733323657,1.6126911207910653e-19,4.1174945863193986e-42
-0.08884049484557721,1.8341514848365376e-19,5.115416145305317e-42
-0.08859635235791785,2.201810320882361e-19,6.351407536200245e-42
-0.08835220987025849,1.9735667136572514e-19,7.88134007155446e-42
-0.08810806738259913,1.56884345202641e-19,9.773975174842653e-42
-0.08786392489493977,1.9776334628644288e-19,1.2113885741874996e-41
-0.08761978240728041,2.299112616695901e-19,1.5005027360160048e-41
-0.08737563991962105,2.0016828357020546e-19,1.8575101148259467e-41
-0.08713149743196169,1.813025987324979e-19,2.2980880271857804e-41
-0.08688735494430233,1.9393160551782544e-19,2.8414708822837094e-41
-0.08664321245664297,2.3277335854338066e-19,3.5112426006588744e-41
-0.08639906996898361,2.2981961889919086e-19,4.336302202377491e-41
-0.08615492748132425,1.7790176688822796e-19,5.352039651660508e-41
-0.08591078499366489,2.004048132302872e-19,6.601766820519725e-41
-0.08566664250600553,2.5184795144747755e-19,8.138457803407462e-41
-0.08542250001834617,2.2671982971308133e-19,1.0026864097236496e-40
-0.08517835753068681,1.9975056705548462e-19,1.2346083737619404e-40
-0.08493421504302745,2.0994258963307983e-19,1.5192679808093546e-40
-0.08469007255536809,2.3697744547352456e-19,1.8684463357753773e-40
-0.08444593006770873,2.53171667355237e-19,2.2965079322014903e-40
-0.08420178758004937,2.0868308655662714e-19,2.8209562313230022e-40
-0.08395764509239001,2.0086277038636627e-19,3.4631063051932515e-40
-0.08371350260473065,2.6070021924132334e-19,4.248898683948019e-40
-0.08346936011707129,2.5461061032413417e-19,5.209883412954268e-40
-0.08322521762941193,2.1798936885869253e-19,6.384409148463699e-40
-0.08298107514175257,2.229341518421147e-19,7.819059083965898e-40
