,SN_Name,SN_Time,SN_RA,SN_Dec,GRB_Time,GRB_RA,GRB_Dec,Angular_Sep_deg,GRB_Fluence_J_per_m2,Trigger_ID,Fluence_Total_J_per_m2,Bruno_Class,Time_Delay_s,Entropy_Candidate,mapped_burst_id,trigger,fluence_ch1,err_ch1,fluence_ch2,err_ch2,fluence_ch3,err_ch3,fluence_ch4,err_ch4,peak_flux_64ms,err_flux_64ms,time_flux_64ms,peak_flux_256ms,err_flux_256ms,time_flux_256ms,peak_flux_1024ms,err_flux_1024ms,time_flux_1024ms,name,burst_id,tjd,time_sec,ra_deg,dec_deg,gal_lon,gal_lat,error_radius,geocenter_angle,overwrite_flag,overwritten_flag,jd,datetime,icecube_energy,icecube_matched
39,GRB 910702A,1991-07-02,255.07,29.05,1991-07-02 04:46:35.627,255.07,29.05,0.0,,473.0,1.074501e-07,Below Threshold,17195.627,False,910702B,473.0,2.774e-07,2.09e-08,3.3431e-07,2.1285e-08,4.4e-07,5.9148e-08,2.2791e-08,3.3101e-07,0.608,0.252,0.064,0.554,0.122,-0.32,0.443,0.06,0.256,4B,910702B,8439.0,17195.627,255.07,29.05,50.6,35.75,4.61,115.22,N,N,2448439.5,1991-07-02 04:46:35.627,44729.695,True
40,GRB 910706,1991-07-06,256.63,-43.69,1991-07-06 05:04:49.003,256.63,-43.69,0.0,,493.0,6.772800000000001e-08,Below Threshold,18289.003,False,910706,493.0,1.7028e-07,1.2693e-08,1.8204e-07,1.3574e-08,3.2496e-07,2.5336e-08,0.0,3.1244e-07,1.283,0.249,0.576,1.096,0.121,0.704,0.952,0.06,1.152,4B,910706,8443.0,18289.003,256.63,-43.69,343.4,-1.75,2.26,98.76,N,N,2448443.5,1991-07-06 05:04:49.003,44729.695,True
41,GRB 910708,1991-07-08,12.09,15.12,1991-07-08 09:41:40.587,12.09,15.12,0.0,,501.0,6.491400000000002e-08,Below Threshold,34900.587,False,910708,501.0,1.3824e-07,7.4931e-09,1.5032e-07,8.0585e-09,3.6058e-07,2.5701e-08,0.0,1.0169e-07,1.147,0.238,0.256,1.099,0.118,0.256,0.923,0.057,0.768,4B,910708,8445.0,34900.587,12.09,15.12,121.82,-47.75,2.62,90.92,N,N,2448445.5,1991-07-08 09:41:40.587,44729.695,True
42,GRB 910709,1991-07-09,172.76999999999998,81.67,1991-07-09 11:33:22.091,172.77,81.67,0.0,,503.0,5.768372000000001e-07,Below Threshold,41602.091,False,910709,503.0,6.5872e-08,6.6339e-09,1.4035e-07,7.5318e-09,6.3985e-07,1.8881e-08,4.9223e-06,2.3699e-07,5.209,0.449,0.128,5.055,0.217,0.192,3.048,0.089,0.896,4B,910709,8446.0,41602.091,172.77,81.67,126.41,34.91,2.31,93.8,Y,N,2448446.5,1991-07-09 11:33:22.091,44729.695,True
43,GRB 910712,1991-07-12,303.63,-57.09,1991-07-12 08:15:45.707,303.63,-57.09,0.0,,516.0,1.15053e-07,Below Threshold,29745.707,False,910712,516.0,3.5412e-07,1.5128e-08,3.1985e-07,1.6734e-08,3.0207e-07,3.1988e-08,1.7449e-07,4.1221e-07,0.935,0.221,0.0,0.775,0.111,0.384,0.696,0.054,0.896,4B,910712,8449.0,29745.707,303.63,-57.09,340.54,-33.66,3.3,72.58,N,N,2448449.5,1991-07-12 08:15:45.707,44729.695,True
44,GRB 910714,1991-07-14,242.52,22.19,1991-07-14 20:46:17.067,242.52,22.19,0.0,,537.0,2.060481e-07,Below Threshold,74777.067,False,910714,537.0,4.5857e-08,1.0465e-08,7.1154e-08,1.0978e-08,5.5177e-07,2.6698e-08,1.3917e-06,2.7711e-07,1.827,0.324,0.0,1.455,0.157,0.192,1.282,0.077,0.96,4B,910714,8451.0,74777.067,242.52,22.19,38.02,44.88,2.45,94.68,Y,N,2448451.5,1991-07-14 20:46:17.067,44729.695,True
45,GRB 910717A,1991-07-17,249.83999999999995,-58.21,1991-07-17 04:33:04.171,249.84,-58.21,0.0,,543.0,7.72761e-07,Below Threshold,16384.171,False,910717,543.0,6.0751e-07,1.0401e-08,1.3739e-06,1.4362e-08,3.0237e-06,3.2612e-08,2.7225e-06,1.9647e-07,11.158,0.507,1.152,10.556,0.249,1.216,9.145,0.118,1.28,4B,910717,8454.0,16384.171,249.84,-58.21,329.4,-7.59,1.01,99.09,Y,N,2448454.5,1991-07-17 04:33:04.171,44729.695,True
46,GRB 910718A,1991-07-18,350.54,59.74,1991-07-18 02:24:57.195,350.54,59.74,0.0,,548.0,6.14485e-07,Below Threshold,8697.195,False,910718B,548.0,7.9023e-07,1.8742e-08,1.3811e-06,2.5636e-08,3.2488e-06,5.2366e-08,7.2472e-07,3.2598e-07,2.202,0.283,5.504,1.996,0.139,5.504,1.825,0.068,5.76,4B,910718B,8455.0,8697.195,350.54,59.74,111.9,-1.2,0.66,133.15,N,N,2448455.5,1991-07-18 02:24:57.195,44729.695,True
47,GRB 910718B,1991-07-18,82.79999999999998,22.78,1991-07-18 06:01:48.395,82.8,22.78,0.0,,549.0,1.351275e-07,Below Threshold,21708.395,False,910718C,549.0,7.1425e-08,1.7272e-08,1.1292e-07,2.2066e-08,2.2612e-07,3.7854e-08,9.4081e-07,4.5933e-07,0.53,0.238,-0.384,0.334,0.117,0.128,0.265,0.057,0.448,4B,910718C,8455.0,21708.395,82.8,22.78,183.49,-6.02,5.5,149.06,N,N,2448455.5,1991-07-18 06:01:48.395,44729.695,True
48,GRB 910719,1991-07-19,245.85,28.46,1991-07-19 10:53:02.251,245.85,28.46,0.0,,555.0,6.31638e-08,Below Threshold,39182.251,False,910719,555.0,1.1592e-08,5.3293e-09,1.1859e-08,5.5764e-09,8.3777e-08,1.2206e-08,5.2441e-07,1.8644e-07,1.623,0.293,0.0,1.306,0.141,0.192,0.372,0.057,0.896,4B,910719,8456.0,39182.251,245.85,28.46,47.52,43.5,17.7,161.27,Y,N,2448456.5,1991-07-19 10:53:02.251,44729.695,True
