SN_Name,SN_Time,SN_RA,SN_Dec,GRB_Trigger,GRB_Time,GRB_RA,GRB_Dec,Angular_Sep_deg,GRB_Fluence_J_per_m2,mapped_burst_id
GRB 920525C,1992-05-25,14.65,-67.13,1626.0,1992-05-25 07:15:51.722,14.65,-67.13,0.0,,920525C
GRB 920526,1992-05-26,104.49,39.31,1628.0,1992-05-26 02:22:16.426,104.49,39.31,0.0,,920526
GRB 920608,1992-06-08,21.79,5.72,1637.0,1992-06-08 14:26:08.874,21.79,5.72,0.0,,920608
GRB 920609B,1992-06-09,260.12999999999994,-72.08,1642.0,1992-06-09 18:11:52.042,260.13,-72.08,0.0,,920609
GRB 920613A,1992-06-13,312.91,-55.64,1646.0,1992-06-13 14:31:43.466,312.91,-55.64,0.0,,920613
GRB 920617A,1992-06-17,100.69,-64.52,1651.0,1992-06-17 03:44:28.266,100.69,-64.52,0.0,,920617B
GRB 920617B,1992-06-17,37.66,77.51,1652.0,1992-06-17 05:26:51.242,37.66,77.51,0.0,,920617
GRB 920617C,1992-06-17,19.04,21.47,1653.0,1992-06-17 18:43:52.810,19.04,21.47,0.0,,920617C
GRB 920618,1992-06-18,315.99999999999994,-46.07,1655.0,1992-06-18 21:50:07.978,316.0,-46.07,0.0,,920618
GRB 920619A,1992-06-19,140.17,-64.71000000000001,1656.0,1992-06-19 08:33:01.546,140.17,-64.71,0.0,,920619
GRB 920619B,1992-06-19,155.27999999999997,22.47,1657.0,1992-06-19 13:03:57.034,155.28,22.47,0.0,,920619B
GRB 920620B,1992-06-20,4.849999999999999,-0.36,1660.0,1992-06-20 18:57:01.674,4.85,-0.36,0.0,,920620
GRB 920620C,1992-06-20,162.13,10.03,1661.0,1992-06-20 22:53:23.946,162.13,10.03,0.0,,920620C
GRB 920622B,1992-06-22,162.1,47.17,1663.0,1992-06-22 07:05:04.490,162.1,47.17,0.0,,920622
GRB 920622C,1992-06-22,346.81,10.01,1664.0,1992-06-22 12:54:21.290,346.81,10.01,0.0,,920622B
GRB 920624,1992-06-24,67.54999999999998,3.05,1667.0,1992-06-24 04:31:36.554,67.55,3.05,0.0,,920624
GRB 920627B,1992-06-27,166.01999999999998,-2.58,1676.0,1992-06-27 13:02:36.138,166.02,-2.58,0.0,,920627
GRB 920628B,1992-06-28,317.79,-27.32,1679.0,1992-06-28 20:57:42.762,317.79,-27.32,0.0,,920628
GRB 920701,1992-07-01,314.64,33.44,1683.0,1992-07-01 19:38:19.586,314.64,33.44,0.0,,920701
GRB 920707,1992-07-07,276.64,-22.06,1687.0,1992-07-07 01:08:19.714,276.64,-22.06,0.0,,920707
GRB 920710B,1992-07-10,53.85,17.34,1693.0,1992-07-10 22:13:25.250,53.85,17.34,0.0,,920710
GRB 920714C,1992-07-14,140.36,-44.64,1700.0,1992-07-14 20:23:26.850,140.36,-44.64,0.0,,920714B
GRB 920715,1992-07-15,285.77,53.74,1701.0,1992-07-15 12:51:26.786,285.77,53.74,0.0,,920715
GRB 920717B,1992-07-17,20.75,-2.32,1704.0,1992-07-17 15:47:09.570,20.75,-2.32,0.0,,920717B
GRB 920718B,1992-07-18,296.39,-55.98,1709.0,1992-07-18 21:32:43.266,296.39,-55.98,0.0,,920718
GRB 920720A,1992-07-20,203.02,36.87,1711.0,1992-07-20 03:12:04.162,203.02,36.87,0.0,,920720
GRB 920720B,1992-07-20,144.73999999999998,-10.3,1712.0,1992-07-20 05:52:52.866,144.74,-10.3,0.0,,920720B
GRB 920721D,1992-07-21,37.55,33.49,1717.0,1992-07-21 18:17:48.418,37.55,33.49,0.0,,920721
GRB 920730A,1992-07-30,22.1,33.9,1730.0,1992-07-30 13:01:24.482,22.1,33.9,0.0,,920730B
GRB 920730B,1992-07-30,241.67,-10.7,1731.0,1992-07-30 21:31:33.890,241.67,-10.7,0.0,,920730
GRB 920801,1992-08-01,157.86,68.9,1733.0,1992-08-01 01:16:40.450,157.86,68.9,0.0,,920801
GRB 920802,1992-08-02,101.35,-48.26,1734.0,1992-08-02 04:35:24.162,101.35,-48.26,0.0,,920802
GRB 920803B,1992-08-03,134.70999999999998,-36.12,1740.0,1992-08-03 16:53:44.642,134.71,-36.12,0.0,,920803
GRB 920804B,1992-08-04,286.4,50.69,1742.0,1992-08-04 19:53:21.794,286.4,50.69,0.0,,920804C
GRB 920806,1992-08-06,284.7399999999999,-10.68,1747.0,1992-08-06 18:09:17.506,284.74,-10.68,0.0,,920806
GRB 920812B,1992-08-12,115.22,-37.91,1806.0,1992-08-12 20:59:27.746,115.22,-37.91,0.0,,920812B
GRB 920813,1992-08-13,206.22,-28.34,1807.0,1992-08-13 03:33:48.546,206.22,-28.34,0.0,,920813
GRB 920814A,1992-08-14,258.68,-44.63,1815.0,1992-08-14 06:09:53.794,258.68,-44.63,0.0,,920814
GRB 920814B,1992-08-14,226.61999999999995,-11.65,1819.0,1992-08-14 13:25:03.234,226.62,-11.65,0.0,,920814B
GRB 920816,1992-08-16,241.71,66.16000000000001,1830.0,1992-08-16 07:15:37.218,241.71,66.16,0.0,,920816
