NIMG ZLENS SIGMA ZSRC MAGH APMAG_H IMSEP EPSILON PHI KAPPA THETA XSRC YSRC TYP LENSID DELAY MAG XIMG YIMG
2 0.3 146.8926 0.5683122 24.82 24.91177 0.5271761 0.3577497 145.9267 0.06022692 -74.56869 0.0002470332 -0.109863 3 180965 0.0,5.159995 -0.936947825876637,0.09176828621025368 0.1241377,0.04341317 -0.3794673,0.1414916
2 0.277 351.5604 0.5714519 24.6 26.06432 3.24362 0.5274093 -46.76699 0.1128032 43.40039 1.322678 -0.3529642 1 182964 0.0,306.5344 -0.7094540684314785,1.4643231845588023 2.830076,-0.312067 -0.8063395,-0.001347259
2 0.267 131.22 0.5714519 25.01 24.98699 0.4811497 0.1214569 -77.69615 0.08331884 154.334 -0.00819516 0.1185211 3 182896 3.676794,0.0 -0.023008767418818334,-1.1143766391924956 -0.00444929,-0.1105439 -0.1235458,0.3457612
2 0.333 212.3244 0.5714519 26.3 25.42583 1.036776 0.2325682 -28.62801 0.078867 144.3682 0.1616062 -0.04665911 3 183371 0.0,18.99019 -0.8741673870073126,-1.139973956760006 0.6615459,-0.340907 -0.3082787,-0.04371759
2 0.202 166.7247 0.574598 23.98 24.1115 0.9055596 0.2788845 63.82971 0.04212421 -64.92556 -0.1959267 0.01079761 2 184725 0.0,7.103467 -1.8505298091536702,0.13150344003809014 -0.6432498,0.2617333 -0.07560331,-0.04329565
2 0.222 233.8837 0.574598 25.37 25.47151 1.981757 0.2969985 31.05981 0.09358538 -123.6647 -0.5383383 -0.2247543 2 184874 0.0,53.54958 -0.6403006008630079,0.10151385240764767 -1.366679,0.3582898 -0.887049,0.08857588
2 0.148 206.063 0.574598 26.02 25.0179 1.921332 0.1175998 -156.8766 0.08191339 -131.7294 -0.2176454 -0.1935839 3 184382 0.0,14.02397 -1.002104507240738,-1.7958590917691353 -0.9503305,0.4511438 -0.8538022,0.460499
2 0.173 250.0345 0.5777503 25.3 25.11349 2.232274 0.1191029 129.3839 0.09085273 82.15836 0.4006217 0.08631206 2 186809 28.50103,0.0 -0.18651364203839654,-2.18056628003606 -0.7082976,1.349453 -0.1523714,0.7129088
2 0.159 284.4461 0.580909 25.74 24.72536 3.200945 0.03261587 98.68289 0.05487176 179.618 -0.2835682 -0.3064092 3 189137 0.0,37.61478 -1.6531254966618245,-1.0146383222058077 -1.696159,0.7072853 -1.165954,0.9481657
2 0.417 172.5838 0.584074 24.41 24.14371 0.4395914 0.1993654 35.61579 0.03585201 140.783 0.1045249 0.01409169 2 193202 8.601934,0.0 -0.26628975332324517,-1.0609400652566123 -0.1147745,0.3218961 -0.004231416,0.04635865
2 0.35 231.7395 0.584074 25.78 25.72897 1.120757 0.2875342 -106.5292 0.03000419 147.6022 -0.108113 0.2569149 3 192842 35.35677,0.0 -0.05103062810487751,-0.9964656973025219 0.1593301,-0.2442232 -0.2327766,0.8128045
2 0.387 328.0953 0.584074 25.19 26.16803 2.092392 0.5220213 -129.836 0.1045643 -87.35477 -0.4805349 -0.6720614 4 193061 0.0,250.2127 -0.4458075004626682,0.9780259191079623 -0.9054486,0.1032959 -1.683092,0.1500848
2 0.184 183.6538 0.584074 22.94 24.16941 1.177891 0.2908388 171.4762 0.04431662 47.28524 0.1472844 -0.4007161 5 191640 0.0,17.15808 -1.2185735271309175,1.229414928110244 0.4283083,-0.04165044 -0.9112287,0.168848
2 0.2 88.30799 0.5872453 25.43 24.65395 0.2728395 0.1381843 -53.77258 0.05866903 58.59507 -0.03757223 -0.00384683 2 194128 0.0,0.3935206 -2.0206390395805047,-0.7760534874817503 -0.1696214,0.0980546 -0.04156657,0.01126282
4 0.215 276.0578 0.5872453 25.68 24.64508 2.858627 0.4125414 1.972711 0.1135607 -16.37327 0.0002065847 -0.3274064 3 194250 10.14415,0.0,4.644366,39.72789 -1.070138050252373,-1.0349178138821182,-1.2364497769055982,0.4048139701759407 -0.1870005,1.433504,-1.412904,0.02146855 -1.339693,-0.8516928,-0.5876749,0.7653568
2 0.351 225.4239 0.590423 24.44 25.53021 0.995812 0.3369884 -19.21052 0.04983081 -135.7028 -0.01283542 0.3326364 2 197613 0.0,36.60734 -1.4076710707738087,1.0902123891686006 -0.07828508,-0.01041066 0.826032,-0.1674641
2 0.153 171.0015 0.593607 24.75 24.79611 1.136025 0.3982136 -30.65565 0.04491288 71.14375 0.004785859 -0.2332084 2 198565 0.0,7.422003 -1.1633366498373932,0.046105459157246564 0.2340986,0.07996873 -0.7982064,0.3273145
2 0.131 389.0451 0.593607 26.44 25.86075 6.583563 0.2735522 -62.19663 0.06792286 -95.696 -0.8901943 0.9615235 3 198442 194.59,0.0 -0.579247276910982,-0.9180784824918062 1.731854,-2.318971 -0.9758283,4.213981
2 0.419 107.1519 0.593607 26.55 26.19781 0.1758852 0.1089496 42.30183 0.04837991 4.080305 0.02778965 0.02881058 3 200399 1.283634,0.0 -0.3521896870151482,-1.044768989284738 -0.03002542,0.1015039 -0.03657705,0.08019474
2 0.332 366.4376 0.5967974 25.8 25.76814 3.038666 0.2211831 112.9535 0.03599802 -141.1984 0.6424165 -0.4061693 5 202323 0.0,221.4125 -1.165882822114421,-0.03185902349435058 1.799283,-0.7160378 -1.379951,0.3249393
2 0.167 199.9862 0.5999942 24.8 26.04532 1.519432 0.2470274 -93.67519 0.07916587 -30.59788 0.5175199 0.1770497 2 203556 0.0,24.07583 -1.24226187874398,1.245322695830204 1.275859,-0.2048385 0.2841677,-0.05672909
