Run_Event_ID,Revision,Date_UTC,Time_UTC,Alert_Type,RA_deg,Dec_deg,Error90_arcmin,Error50_arcmin,Energy_TeV,Signalness,FAR_per_year,Notes
138515_8773328,1,23/11/03,09:17:35.29,GOLD,105.6700,47.8500,147.59,86.99,1.8034e02,5.9238e-01,0.1472,IceCube Bronze event. The position error is statistical only there is no systematic added.
138515_8773328,0,23/11/03,09:17:35.29,GOLD,104.2522,46.5805,64.55,25.15,1.8034e02,5.9238e-01,0.1472,IceCube Bronze event. The position error is statistical only there is no systematic added.
138487_60138479,2,23/10/27,04:16:10.44,GOLD,267.1600,46.9600,178.20,102.59,1.9151e02,6.2474e-01,0.1472,IceCube Bronze event. The position error is statistical only there is no systematic added.
138487_60138479,0,23/10/27,04:16:10.44,GOLD,268.3137,46.5106,135.40,52.75,1.9151e02,6.2474e-01,0.1472,IceCube Bronze event. The position error is statistical only there is no systematic added.
138449_20481611,1,23/10/14,22:00:06.26,BRONZE,297.1600,1.3400,141.00,77.09,1.0532e02,2.5416e-01,4.8518,IceCube Bronze event. The position error is statistical only there is no systematic added.
138449_20481611,0,23/10/14,22:00:06.26,BRONZE,296.0109,1.2386,34.43,13.41,1.0532e02,2.5416e-01,4.8518,IceCube Bronze event. The position error is statistical only there is no systematic added.
138415_56188508,1,23/10/04,14:39:41.18,GOLD,143.7899,25.0399,65.40,35.99,4.4218e02,8.4178e-01,0.4490,IceCube Bronze event. The position error is statistical only there is no systematic added.
138415_56188508,0,23/10/04,14:39:41.18,GOLD,143.7656,25.0511,30.80,12.00,4.4218e02,8.4178e-01,0.4490,IceCube Bronze event. The position error is statistical only there is no systematic added.
138354_45413430,2,23/09/14,05:21:03.71,BRONZE,163.8300,31.8299,128.40,71.99,1.6776e02,5.4363e-01,0.8823,IceCube Bronze event. The position error is statistical only there is no systematic added.
138354_45413430,0,23/09/14,05:21:03.71,BRONZE,163.9996,32.5136,43.55,16.97,1.6776e02,5.4363e-01,0.8823,IceCube Bronze event. The position error is statistical only there is no systematic added.
138283_14780365,1,23/08/23,08:26:14.59,GOLD,17.9299,-12.0999,17.99,10.20,3.4127e03,3.2938e-01,0.5131,IceCube Bronze event. The position error is statistical only there is no systematic added.
138283_14780365,0,23/08/23,08:26:14.59,GOLD,19.4330,-11.4977,30.80,12.00,3.4127e03,3.2938e-01,0.5131,IceCube Bronze event. The position error is statistical only there is no systematic added.
138198_44334860,1,23/07/27,16:05:39.63,BRONZE,33.6599,7.6299,49.19,27.00,1.1332e02,2.9444e-01,3.3838,IceCube Bronze event. The position error is statistical only there is no systematic added.
138198_44334860,0,23/07/27,16:05:39.63,BRONZE,33.2758,7.3621,30.80,12.00,1.1332e02,2.9444e-01,3.3838,IceCube Bronze event. The position error is statistical only there is no systematic added.
138193_21103478,1,23/07/25,21:30:51.06,BRONZE,327.0400,12.3300,112.20,63.60,1.4504e02,3.9382e-01,1.6765,IceCube Bronze event. The position error is statistical only there is no systematic added.
138181_66037171,1,23/07/24,01:49:13.38,GOLD,32.5200,-1.8700,23.40,12.00,1.9143e02,5.2650e-01,1.1738,IceCube Bronze event. The position error is statistical only there is no systematic added.
138193_21103478,0,23/07/25,21:30:51.06,BRONZE,325.3444,11.8857,48.64,18.95,1.4504e02,3.9382e-01,1.6765,IceCube Bronze event. The position error is statistical only there is no systematic added.
138181_66037171,0,23/07/24,01:49:13.38,GOLD,32.8295,-2.3369,40.28,15.69,1.9143e02,5.2650e-01,1.1738,IceCube Bronze event. The position error is statistical only there is no systematic added.
138131_35302784,1,23/07/08,08:17:05.21,GOLD,270.6999,8.4600,201.00,115.19,2.0845e02,5.5963e-01,0.9371,IceCube Bronze event. The position error is statistical only there is no systematic added.
138131_35302784,0,23/07/08,08:17:05.21,GOLD,271.3063,8.7543,30.80,12.00,2.0845e02,5.5963e-01,0.9371,IceCube Bronze event. The position error is statistical only there is no systematic added.
138125_29513102,1,23/07/07,18:56:51.43,BRONZE,127.1800,20.7399,609.60,359.40,1.5428e02,4.6634e-01,1.3583,IceCube Bronze event. The position error is statistical only there is no systematic added.
138125_29513102,0,23/07/07,18:56:51.43,BRONZE,128.1714,21.5037,200.07,77.93,1.5428e02,4.6634e-01,1.3583,IceCube Bronze event. The position error is statistical only there is no systematic added.
138125_11333473,1,23/07/07,16:58:50.03,GOLD,269.0299,-1.9399,40.80,24.00,2.7945e02,6.6328e-01,0.4443,IceCube Bronze event. The position error is statistical only there is no systematic added.
138125_11333473,0,23/07/07,16:58:50.03,GOLD,268.4284,-1.8127,30.80,12.00,2.7945e02,6.6328e-01,0.4443,IceCube Bronze event. The position error is statistical only there is no systematic added.
138005_24780443,1,23/06/03,05:00:47.13,BRONZE,68.2000,24.2100,155.39,92.40,1.4521e02,4.5572e-01,1.2419,IceCube Bronze event. The position error is statistical only there is no systematic added.
138005_24780443,0,23/06/03,05:00:47.13,BRONZE,66.6962,24.0938,50.20,19.55,1.4521e02,4.5572e-01,1.2419,IceCube Bronze event. The position error is statistical only there is no systematic added.
137971_11526243,1,23/05/24,11:09:36.24,BRONZE,318.4300,2.8399,160.19,89.39,1.0940e02,2.6669e-01,4.2501,IceCube Bronze event. The position error is statistical only there is no systematic added.
137971_11526243,0,23/05/24,11:09:36.24,BRONZE,319.0087,2.9588,67.14,26.15,1.0940e02,2.6669e-01,4.2501,IceCube Bronze event. The position error is statistical only there is no systematic added.
137932_1791376,1,23/05/11,18:03:50.10,BRONZE,17.0500,37.0799,207.59,121.79,1.6746e02,5.4588e-01,0.4941,IceCube Bronze event. The position error is statistical only there is no systematic added.
137932_1791376,0,23/05/11,18:03:50.10,BRONZE,17.7905,37.2247,41.62,16.21,1.6746e02,5.4588e-01,0.4941,IceCube Bronze event. The position error is statistical only there is no systematic added.
137910_29871391,1,23/05/06,15:53:45.93,GOLD,50.1899,21.0599,187.20,108.60,2.1125e02,6.4254e-01,0.7577,IceCube Bronze event. The position error is statistical only there is no systematic added.
137910_29871391,0,23/05/06,15:53:45.93,GOLD,51.3012,22.3312,44.63,17.39,2.1125e02,6.4254e-01,0.7577,IceCube Bronze event. The position error is statistical only there is no systematic added.
137840_57034692,1,23/04/16,05:22:26.15,BRONZE,345.8500,9.1400,52.64,29.24,1.2729e02,3.4064e-01,2.5322,IceCube Bronze event. The position error is statistical only there is no systematic added.
137840_57034692,0,23/04/16,05:22:26.15,BRONZE,345.8253,9.0067,30.80,12.00,1.2729e02,3.4064e-01,2.5322,IceCube Bronze event. The position error is statistical only there is no systematic added.
137806_8756840,1,23/04/05,13:20:20.04,BRONZE,120.8499,9.7500,178.20,102.30,1.1043e02,2.9923e-01,2.8353,IceCube Bronze event. The position error is statistical only there is no systematic added.
137806_8756840,0,23/04/05,13:20:20.04,BRONZE,118.9986,10.3269,69.51,27.08,1.1043e02,2.9923e-01,2.8353,IceCube Bronze event. The position error is statistical only there is no systematic added.
137794_38132005,1,23/04/01,16:14:18.90,BRONZE,8.1699,1.9399,173.40,98.39,1.1079e02,2.7409e-01,4.1124,IceCube Bronze event. The position error is statistical only there is no systematic added.
137794_38132005,0,23/04/01,16:14:18.90,BRONZE,6.9169,2.8179,93.25,36.32,1.1079e02,2.7409e-01,4.1124,IceCube Bronze event. The position error is statistical only there is no systematic added.
137711_79205800,1,23/03/06,10:59:30.41,GOLD,72.8599,34.2299,52.19,29.39,1.7462e02,5.6416e-01,0.7101,IceCube Bronze event. The position error is statistical only there is no systematic added.
137711_79205800,0,23/03/06,10:59:30.41,GOLD,72.5846,34.0881,30.80,12.00,1.7462e02,5.6416e-01,0.7101,IceCube Bronze event. The position error is statistical only there is no systematic added.
137668_51133257,0,23/02/20,07:39:10.83,BRONZE,359.3311,3.3491,30.80,12.00,1.5177e02,3.6400e-01,2.5206,IceCube Bronze event. The position error is statistical only there is no systematic added.
137661_22129736,1,23/02/17,20:49:43.37,BRONZE,124.5400,20.7399,143.40,85.19,5.4853e01,4.5373e-01,1.8772,IceCube Bronze event. The position error is statistical only there is no systematic added.
137661_22129736,0,23/02/17,20:49:43.37,BRONZE,124.4176,18.9153,61.36,22.34,5.4853e01,4.5373e-01,1.8772,IceCube Bronze event. The position error is statistical only there is no systematic added.
137603_30799022,1,23/02/01,06:20:54.42,BRONZE,345.4100,12.0999,130.80,73.79,1.2098e02,3.4770e-01,2.0701,IceCube Bronze event. The position error is statistical only there is no systematic added.
