SN_Name,SN_Time,SN_RA,SN_Dec,GRB_Time,GRB_RA,GRB_Dec,Angular_Sep_deg,GRB_Fluence_J_per_m2,Trigger_ID,Fluence_Total_J_per_m2,Bruno_Class,Time_Delay_s,Entropy_Candidate,mapped_burst_id
GRB 910725B,1991-07-25,273.17999999999995,14.13,1991-07-25 13:12:06.507,273.18,14.13,0.0,,577.0,2.97719e-07,Below Threshold,47526.507,False,910725B
GRB 910730A,1991-07-30,249.54,-75.22,1991-07-30 04:18:18.859,249.54,-75.22,0.0,,591.0,3.1657800000000004e-07,Below Threshold,15498.859,False,910730B
GRB 910730C,1991-07-30,313.88,16.93,1991-07-30 22:27:14.155,313.88,16.93,0.0,,594.0,4.926690000000001e-07,Below Threshold,80834.155,False,910730
GRB 910802B,1991-08-02,199.57,-53.42,1991-08-02 15:21:16.651,199.57,-53.42,0.0,,606.0,3.13052e-07,Below Threshold,55276.651,False,910802B
GRB 910805,1991-08-05,313.27,-51.3,1991-08-05 10:41:25.611,313.27,-51.3,0.0,,630.0,1.19044e-07,Below Threshold,38485.611,False,910805
GRB 910807,1991-08-07,153.84999999999997,6.49,1991-08-07 07:20:32.811,153.85,6.49,0.0,,647.0,2.08429e-06,Below Threshold,26432.811,False,910807
GRB 910809A,1991-08-09,237.39,38.82,1991-08-09 00:58:25.771,237.39,38.82,0.0,,658.0,3.00329e-07,Below Threshold,3505.771,False,910809C
GRB 910809B,1991-08-09,195.43,19.37,1991-08-09 06:15:00.203,195.43,19.37,0.0,,659.0,7.6046e-07,Below Threshold,22500.203,False,910809B
GRB 910809C,1991-08-09,281.96,64.74,1991-08-09 19:35:45.515,281.96,64.74,0.0,,660.0,7.349510000000001e-07,Below Threshold,70545.515,False,910809
GRB 910813,1991-08-13,39.41,-64.49,1991-08-13 13:36:24.683,39.41,-64.49,0.0,,673.0,1.0622687000000005e-07,Below Threshold,48984.683,False,910813
