name,RA_deg,Dec_deg,redshift,datetime,maxabsmag,distance_mpc,type
GRB 911207,307.79,29.3,,1991/12/07,,,LGRB
GRB 911208A,112.67999999999998,-21.14,,1991/12/08,,,LGRB
GRB 911208B,38.14999999999999,-53.11,,1991/12/08,,,LGRB
GRB 911209B,46.11,-31.3,,1991/12/09,,,LGRB
GRB 911209C,259.98,-45.080000000000005,,1991/12/09,,,LGRB
GRB 911210,294.86999999999995,-19.4,,1991/12/10,,,LGRB
GRB 911213,209.39999999999995,-45.74,,1991/12/13,,,LGRB
GRB 911217A,6.958333333333333,22.67,,1991/12/17,,,LGRB
GRB 911217B,28.89,0.0166666666666666,,1991/12/17,,,LGRB
GRB 911219A,354.24999999999994,-0.16,,1991/12/19,,,LGRB
GRB 911219B,218.65,-4.83,,1991/12/19,,,LGRB
GRB 911221,215.82,-42.72,,1991/12/21,,,LGRB
GRB 911223,336.9899999999999,-50.42,,1991/12/23,,,LGRB
GRB 911224C,342.04,-17.71,,1991/12/24,,,LGRB
GRB 911225A,334.61,26.17,,1991/12/25,,,LGRB
GRB 911225B,253.31,-34.1,,1991/12/25,,,LGRB
GRB 911227,350.44,-68.25,,1991/12/27,,,LGRB
GRB 911228,280.19,43.69,,1991/12/28,,,LGRB
GRB 920105,335.4,-53.8,,1992/01/05,,,LGRB
GRB 920110A,58.07999999999999,-20.8,,1992/01/10,,,LGRB
GRB 920110C,357.7099999999999,10.55,,1992/01/10,,,LGRB
GRB 920114,244.13,63.89,,1992/01/14,,,LGRB
GRB 920116B,152.79,-81.32,,1992/01/16,,,LGRB
GRB 920120,300.30999999999995,-82.75,,1992/01/20,,,LGRB
GRB 920127,322.36999999999995,-29.26,,1992/01/27,,,LGRB
GRB 920203,269.7399999999999,-15.26,,1992/02/03,,,LGRB
GRB 920209B,288.23,60.75,,1992/02/09,,,LGRB
GRB 920210A,318.78,-40.43,,1992/02/10,,,LGRB
GRB 920210B,150.97,48.36,,1992/02/10,,,LGRB
GRB 920212,38.18999999999999,14.1,,1992/02/12,,,LGRB
GRB 920214,39.67,7.13,,1992/02/14,,,LGRB
GRB 920216B,156.91999999999996,1.1700000000000002,,1992/02/16,,,LGRB
GRB 920218B,140.41999999999996,52.96,,1992/02/18,,,LGRB
GRB 920218C,39.47,27.47,,1992/02/18,,,LGRB
GRB 920221,184.14,48.48,,1992/02/21,,,LGRB
GRB 920224A,169.64999999999998,-66.78,,1992/02/24,,,LGRB
GRB 920226B,271.24999999999994,17.46,,1992/02/26,,,LGRB
GRB 920227A,68.35999999999999,66.83999999999999,,1992/02/27,,,LGRB
GRB 920227B,241.01,10.65,,1992/02/27,,,LGRB
GRB 920227C,202.28,50.56,,1992/02/27,,,LGRB
GRB 920228,147.93999999999997,25.06,,1992/02/28,,,LGRB
GRB 920229A,333.67,-5.25,,1992/02/29,,,LGRB
GRB 920301,344.17999999999995,16.83,,1992/03/01,,,LGRB
GRB 920302A,115.28,-58.92,,1992/03/02,,,LGRB
GRB 920307,355.56999999999994,-45.15,,1992/03/07,,,LGRB
GRB 920308A,84.44,65.25,,1992/03/08,,,LGRB
GRB 920310,105.84999999999998,-5.91,,1992/03/10,,,LGRB
GRB 920318A,254.5,-26.31,,1992/03/18,,,LGRB
GRB 920323,337.89,-34.66,,1992/03/23,,,LGRB
GRB 920328,315.14,-4.3,,1992/03/28,,,LGRB
GRB 920331B,264.3,30.55,,1992/03/31,,,LGRB
GRB 920405,356.99999999999994,34.13,,1992/04/05,,,LGRB
GRB 920406,289.91,-57.69,,1992/04/06,,,LGRB
GRB 920408C,306.69,33.88,,1992/04/08,,,LGRB
GRB 920413,109.73,-48.89,,1992/04/13,,,LGRB
GRB 920414A,299.99999999999994,-65.15,,1992/04/14,,,LGRB
GRB 920419A,149.72,-18.25,,1992/04/19,,,LGRB
GRB 920419B,85.52,63.29,,1992/04/19,,,LGRB
GRB 920420,320.51,13.45,,1992/04/20,,,LGRB
GRB 920423B,153.89999999999998,22.16,,1992/04/23,,,LGRB
