  2.257003E-01
  2.35E+02  3.00E+02  2.986675E+19  4.432625E+20  1.550804E+32  1.283200E+16  1.904440E+17  6.662900E+28
 
  2.257096E-01
  0.00E+00  1.00E+00  1.313081E+54  7.958937E+53  1.017386E+54  1.214640E+48  7.362260E+47  9.411130E+47
  1.00E+00  2.50E+00  1.292041E+55  6.552331E+54  7.755174E+54  3.731940E+49  1.892580E+49  2.240010E+49
  2.50E+00  4.50E+00  4.696856E+55  2.390189E+55  1.909111E+55  2.669450E+50  1.358460E+50  1.085040E+50
  4.50E+00  7.00E+00  9.740332E+55  6.404410E+55  2.923835E+55  9.043830E+50  5.946450E+50  2.714760E+50
  7.00E+00  1.00E+01  1.252286E+56  1.168330E+56  3.512191E+55  1.714280E+51  1.599350E+51  4.807910E+50
  1.00E+01  1.40E+01  1.093154E+56  1.437448E+56  3.506838E+55  2.111450E+51  2.776460E+51  6.773530E+50
  1.40E+01  1.90E+01  6.418448E+55  1.121589E+56  2.789007E+55  1.703280E+51  2.976390E+51  7.401260E+50
  1.90E+01  2.50E+01  2.443184E+55  5.349336E+55  1.680239E+55  8.638480E+50  1.891390E+51  5.940900E+50
  2.50E+01  3.20E+01  5.794134E+54  1.550007E+55  7.511163E+54  2.652400E+50  7.095520E+50  3.438410E+50
  3.20E+01  4.00E+01  8.296688E+53  2.717458E+54  2.496204E+54  4.795300E+49  1.570630E+50  1.442750E+50
  4.00E+01  4.80E+01  8.254729E+52  3.279181E+53  6.773580E+53  5.827330E+48  2.314900E+49  4.781730E+49
  4.80E+01  5.80E+01  4.942825E+51  2.367511E+52  1.384038E+53  4.203500E+47  2.013390E+48  1.177020E+49
  5.80E+01  6.80E+01  1.837497E+50  1.034940E+51  2.169331E+52  1.856690E+46  1.045750E+47  2.191990E+48
  6.80E+01  8.00E+01  4.223842E+48  2.718854E+49  2.515708E+51  5.013390E+44  3.227080E+45  2.985960E+47
  8.00E+01  9.50E+01  3.637427E+46  2.618249E+47  1.633844E+50  5.105640E+42  3.675080E+43  2.293330E+46
  9.50E+01  1.15E+02  7.090537E+43  5.646415E+44  4.112149E+48  1.194650E+40  9.513370E+40  6.928360E+44
  1.15E+02  1.45E+02  9.212942E+39  8.250440E+40  1.656478E+46  1.923180E+36  1.722260E+37  3.457860E+42
  1.45E+02  1.85E+02  3.879332E+34  4.048344E+35  6.050461E+42  1.028060E+31  1.072850E+32  1.603430E+39
  1.85E+02  2.35E+02  6.829386E+27  8.578918E+28  1.546387E+38  2.303250E+24  2.893290E+25  5.215280E+34
  2.35E+02  3.00E+02  2.980694E+19  4.426876E+20  1.549841E+32  1.280630E+16  1.901970E+17  6.658760E+28
 
  2.257513E-01
  0.00E+00  1.00E+00  1.314551E+54  7.968093E+53  1.018558E+54  1.216000E+48  7.370730E+47  9.421970E+47
  1.00E+00  2.50E+00  1.293388E+55  6.559740E+54  7.764037E+54  3.735830E+49  1.894720E+49  2.242570E+49
  2.50E+00  4.50E+00  4.701008E+55  2.392758E+55  1.911205E+55  2.671810E+50  1.359920E+50  1.086230E+50
  4.50E+00  7.00E+00  9.746180E+55  6.410323E+55  2.926840E+55  9.049260E+50  5.951940E+50  2.717550E+50
  7.00E+00  1.00E+01  1.252527E+56  1.169097E+56  3.515398E+55  1.714610E+51  1.600400E+51  4.812300E+50
  1.00E+01  1.40E+01  1.092849E+56  1.437883E+56  3.509370E+55  2.110860E+51  2.777300E+51  6.778420E+50
  1.40E+01  1.90E+01  6.414491E+55  1.121582E+56  2.790349E+55  1.702230E+51  2.976370E+51  7.404820E+50
  1.90E+01  2.50E+01  2.442137E+55  5.350128E+55  1.680838E+55  8.634780E+50  1.891670E+51  5.943020E+50
  2.50E+01  3.20E+01  5.799442E+54  1.551969E+55  7.515357E+54  2.654830E+50  7.104500E+50  3.440330E+50
  3.20E+01  4.00E+01  8.337209E+53  2.729535E+54  2.499439E+54  4.818720E+49  1.577610E+50  1.444620E+50
