name,ra_deg,dec_deg,redshift,lumdist_mpc,type,discover_date
GRB 920331B,264.3,30.55,,,LGRB,1992/03/31
GRB 920405,356.99999999999994,34.13,,,LGRB,1992/04/05
GRB 920406,289.90999999999997,-57.69,,,LGRB,1992/04/06
GRB 920408C,306.69,33.88,,,LGRB,1992/04/08
GRB 920413,109.72999999999999,-48.89,,,LGRB,1992/04/13
GRB 920414A,299.99999999999994,-65.15,,,LGRB,1992/04/14
GRB 920419A,149.72,-18.25,,,LGRB,1992/04/19
GRB 920419B,85.52,63.29,,,LGRB,1992/04/19
GRB 920420,320.51,13.45,,,LGRB,1992/04/20
GRB 920423B,153.89999999999998,22.16,,,LGRB,1992/04/23
GRB 920430B,37.61,-8.22,,,LGRB,1992/04/30
GRB 920502B,154.82,45.419999999999995,,,LGRB,1992/05/02
GRB 920502C,131.98999999999998,-84.96000000000001,,,LGRB,1992/05/02
GRB 920503A,146.76,41.980000000000004,,,LGRB,1992/05/03
GRB 920505,45.36999999999999,69.94,,,LGRB,1992/05/05
GRB 920509,341.21999999999997,-82.43,,,LGRB,1992/05/09
GRB 920511A,125.03999999999999,-48.96,,,LGRB,1992/05/11
GRB 920511B,65.02999999999999,-45.6,,,LGRB,1992/05/11
GRB 920511C,24.33,-37.01,,,LGRB,1992/05/11
GRB 920513,211.15999999999997,-44.769999999999996,,,LGRB,1992/05/13
GRB 920517B,204.09999999999997,-16.47,,,LGRB,1992/05/17
GRB 920518,247.29999999999998,33.9,,,LGRB,1992/05/18
GRB 920520A,190.02999999999997,-51.94,,,LGRB,1992/05/20
GRB 920524,157.51999999999998,29.22,,,LGRB,1992/05/24
GRB 920525A,229.20999999999998,37.330000000000005,,,LGRB,1992/05/25
GRB 920525B,299.62999999999994,-42.05,,,LGRB,1992/05/25
GRB 920525C,14.649999999999999,-67.13,,,LGRB,1992/05/25
GRB 920526,104.49,39.309999999999995,,,LGRB,1992/05/26
GRB 920608,21.789999999999996,5.72,,,LGRB,1992/06/08
GRB 920609B,260.12999999999994,-72.08,,,LGRB,1992/06/09
GRB 920610,147.82999999999996,-17.810000000000002,,,LGRB,1992/06/10
GRB 920613A,312.90999999999997,-55.64,,,LGRB,1992/06/13
GRB 920615A,258.3599999999999,-16.5,,,LGRB,1992/06/15
GRB 920615C,16.65,24.229999999999997,,,LGRB,1992/06/15
