event_name,RA_deg,Dec_deg,detection_date_utc,distance_mpc,redshift,Type,fluence_j_m2,notes
AT2020aads,171.036267,6.214842,2020/11/12,171.641,0.037706,Candidate,2.836871,AT2020aads.json
AT2020aadt,187.351987,63.844803,2020/11/10,,,Candidate,,AT2020aadt.json
AT2020aaea,34.806971,42.417292,2020/09/13,,,Candidate,,AT2020aaea.json
AT2020aaeg,78.501862,24.686936,2020/11/11,,,Candidate,,AT2020aaeg.json
AT2020aaeh,22.2538,29.905697,2020/11/11,693.5,0.142,Candidate,0.173776,AT2020aaeh.json
AT2020aaei,139.661833,6.929406,2020/11/12,583.1,0.121,Candidate,0.245808,AT2020aaei.json
AT2020aaej,149.331037,13.0664,2020/11/12,323.821,0.069547,Candidate,0.797025,AT2020aaej.json
AT2020aaek,171.677271,9.623661,2020/11/12,8113.0,1.155,Candidate,0.00127,AT2020aaek.json
AT2020aael,186.548254,71.716872,2020/11/12,,,Candidate,,AT2020aael.json
AT2020aaem,141.603046,13.804156,2020/11/12,3686.0,0.607,Candidate,0.006151,AT2020aaem.json
AT2020aaen,136.592746,9.474436,2020/11/12,667.0,0.137,Candidate,0.187858,AT2020aaen.json
AT2020aaeo,147.247546,39.359306,2020/11/12,994.5,0.197,Candidate,0.084503,AT2020aaeo.json
AT2020aaep,334.253121,-23.78245,2020/11/12,,,Candidate,,AT2020aaep.json
AT2020aaeq,177.744546,35.015778,2020/11/12,1485.0,0.281,Candidate,0.037899,AT2020aaeq.json
AT2020aaer,138.161633,52.713108,2020/11/12,959.592,0.190772,Candidate,0.090763,AT2020aaer.json
AT2020aaes,128.288233,10.188875,2020/11/15,916.3,0.183,Candidate,0.099542,AT2020aaes.json
AT2020aaet,19.468725,41.321833,2020/11/15,,,Candidate,,AT2020aaet.json
AT2020aaev,143.366121,9.533372,2020/11/15,229.409,0.049954,Candidate,1.588038,AT2020aaev.json
AT2020aaew,118.186662,35.443289,2020/11/15,356.38,0.07619,Candidate,0.658044,AT2020aaew.json
AT2020aaex,11.473471,45.094875,2020/11/15,,,Candidate,,AT2020aaex.json
AT2020aaey,119.907158,4.179156,2020/11/15,883.1,0.177,Candidate,0.107167,AT2020aaey.json
AT2020aafa,175.726087,16.563919,2020/11/15,3490.0,0.58,Candidate,0.006862,AT2020aafa.json
AT2020aafc,157.441642,9.647167,2020/11/15,822.8,0.166,Candidate,0.123451,AT2020aafc.json
AT2020aafd,43.204512,43.174644,2020/11/15,624.9,0.129,Candidate,0.214023,AT2020aafd.json
AT2020aafe,119.131721,53.630669,2020/11/15,1265.0,0.244,Candidate,0.052228,AT2020aafe.json
AT2020aaff,121.825283,7.107247,2020/11/15,1070.0,0.21,Candidate,0.072999,AT2020aaff.json
AT2020aafg,16.883017,-18.292036,2020/11/15,,,Candidate,,AT2020aafg.json
AT2020aafh,34.620362,28.718314,2020/11/16,3287.0,0.552,Candidate,0.007735,AT2020aafh.json
AT2020aafi,56.680412,17.987731,2020/11/17,,,Candidate,,AT2020aafi.json
AT2020aafj,115.139175,28.990639,2020/11/12,1171.0,0.228,Candidate,0.060949,AT2020aafj.json
AT2020aafk,140.166996,21.498747,2020/11/17,619.6,0.128,Candidate,0.2177,AT2020aafk.json
AT2020aafl,31.721292,-14.365017,2020/11/17,598.7,0.124,Candidate,0.233165,AT2020aafl.json
AT2020aafn,55.584062,13.329742,2020/11/17,,,Candidate,,AT2020aafn.json
AT2020aafo,65.984546,-19.471831,2020/11/17,,,Candidate,,AT2020aafo.json
AT2020aafp,55.161508,14.966519,2020/11/17,,,Candidate,,AT2020aafp.json
AT2020aafq,166.625767,24.058792,2020/11/17,480.0,0.1,Candidate,0.362743,AT2020aafq.json
AT2020aafr,167.787512,44.128225,2020/11/17,356.175,0.076148,Candidate,0.658802,AT2020aafr.json
AT2020aafs,189.856833,16.157633,2020/11/17,505.9,0.106,Candidate,0.326552,AT2020aafs.json
AT2020aaft,289.155546,31.337769,2020/08/31,,,Candidate,,AT2020aaft.json
AT2020aafu,305.393804,58.027203,2020/05/26,,,Candidate,,AT2020aafu.json
AT2020aafv,149.090421,0.292289,2020/11/16,,,Candidate,,AT2020aafv.json
AT2020aafy,23.566921,30.611658,2020/07/06,0.841,0.00019,Candidate,118165.236303,AT2020aafy.json
AT2020aafz,150.4259,-10.558481,2020/11/05,,,Candidate,,AT2020aafz.json
AT2020aaga,211.438121,27.421086,2020/04/26,,,Candidate,,AT2020aaga.json
AT2020aagb,297.446296,53.113653,2020/09/28,,,Candidate,,AT2020aagb.json
AT2020aagc,43.713021,39.219881,2020/09/27,,,Candidate,,AT2020aagc.json
AT2020aagd,82.34355,52.599142,2020/09/20,,,Candidate,,AT2020aagd.json
AT2020aage,308.892104,25.438442,2020/09/28,,,Candidate,,AT2020aage.json
AT2020aagf,357.7007,26.284897,2020/08/21,,,Candidate,,AT2020aagf.json
AT2020aagg,308.916312,18.47325,2020/06/10,,,Candidate,,AT2020aagg.json
AT2020aagh,40.271954,-4.392789,2020/09/02,,,Candidate,,AT2020aagh.json
AT2020aagi,52.292983,-22.021208,2020/11/12,,,Candidate,,AT2020aagi.json
AT2020aagj,77.198187,-9.579767,2020/10/02,,,Candidate,,AT2020aagj.json
AT2020aagk,291.348933,-9.3556,2020/06/17,,,Candidate,,AT2020aagk.json
AT2020aagl,177.3853,46.310331,2020/06/29,,,Candidate,,AT2020aagl.json
AT2020aagm,70.125904,19.213353,2020/09/05,,,Candidate,,AT2020aagm.json
AT2020aagn,309.220308,28.370631,2020/09/27,,,Candidate,,AT2020aagn.json
AT2020aago,11.301396,41.6541,2020/10/18,,,Candidate,,AT2020aago.json
