name,ra_deg,dec_deg,redshift,lumdist_mpc,type,discover_date,fluence_j_m2,Bruno_Trigger
SN2018fqz,103.08936666666666,27.470730555555555,0.036745,167.149,Ia,2018/08/30,2.9908231057170475e-07,False
SN2018frk,341.5698749999999,-7.837197222222222,0.08,380.0,Ia,2018/09/01,5.786701751889586e-08,False
SN2018fru,204.015625,66.3012,0.01026,45.764,II,2018/09/01,3.989792766912008e-06,False
SN2018frv,310.1298125,-46.577225000000006,0.04313,197.1,Ia,2018/09/01,2.150923893597849e-07,False
SN2018frx,260.957625,46.30158888888889,0.085,400.0,Ia,2018/09/03,5.2224983310803504e-08,False
SN2018fsa,336.4043958333333,-13.075080555555555,0.043,196.0,Ia,2018/09/03,2.1751346651729908e-07,False
SN2018fsc,6.9608333333333325,6.306088888888889,0.037,168.0,II,2018/08/30,2.9605999609299046e-07,False
SN2018fse,258.5604583333333,36.45897222222222,0.084,395.0,Ia,2018/08/25,5.355550283434426e-08,False
SN2018fsf,340.10279166666663,16.190794444444446,0.095268,451.419,Ia,2018/08/25,4.100517066596841e-08,False
SN2018fsh,127.73595833333331,39.83587777777778,0.029084,131.561,II,2018/08/31,4.827740975569425e-07,False
SN2018fsm,33.59975,30.81192777777778,0.04,180.0,II,2018/09/03,2.5790115215211616e-07,False
SN2018fsn,122.13162499999996,41.51885,0.03,140.0,II,2018/08/31,4.263263943739063e-07,False
SN2018fso,253.18404166666667,70.0882361111111,,,II P,2018/08/30,,False
SN2018fsp,118.08975,49.035,0.0183,82.12,II,2018/08/30,1.2390830358102468e-06,False
SN2018fsq,109.45770833333331,18.464358333333333,0.043,196.0,Ia,2018/08/30,2.1751346651729908e-07,False
SN2018fsr,117.28058333333333,32.98061666666667,0.02766,124.99,Ia,2018/08/30,5.348694047842293e-07,False
SN2018fss,46.61170833333333,41.21383055555556,0.06,280.0,Ia,2018/08/30,1.0658159859347658e-07,False
SN2018fst,19.884541666666664,-18.173461111111116,0.1,480.0,Ia,2018/08/21,3.6267349521391334e-08,False
SN2018ftc,352.01650833333326,9.770811111111112,0.05,230.0,Ia,2018/09/04,1.579583616205777e-07,False
SN2018ftd,30.317124999999997,-1.2239611111111113,0.062,287.0,Ia,2018/09/01,1.0144589991050713e-07,False
SN2018fte,26.03445833333333,7.977072222222223,0.062,287.0,Ia,2018/09/03,1.0144589991050713e-07,False
SN2018ftt,264.1127083333333,22.49054444444445,0.056,258.0,Ia,2018/08/31,1.255332811989749e-07,False
SN2018ftu,23.673124999999995,-5.634791666666666,0.063,292.0,Ia,2018/09/01,9.800146990205201e-08,False
SN2018fty,36.69708333333333,-9.067311111111112,0.054386,250.551,Ia,2018/09/01,1.3310856811708669e-07,False
SN2018fub,10.12780833333333,-50.68752222222222,0.0288,130.2,Ia,2018/09/05,4.929198686251664e-07,False
SN2018fuj,67.74379166666667,-26.781805555555557,0.050745,233.173,Ia,2018/09/05,1.536886415126406e-07,False
SN2018fuk,86.27972083333333,-79.39664444444445,0.017582,78.8558,Ia,2018/09/05,1.3437887731711263e-06,False
SN2018fum,24.047041666666665,27.274863888888888,0.06,280.0,Ia,2018/09/02,1.0658159859347658e-07,False
SN2018fuq,301.51966666666664,54.95800555555556,0.036,164.0,Ia,2018/09/05,3.10678068475928e-07,False
SN2018fus,315.630375,-5.625019444444445,0.025,113.0,II,2018/08/11,6.543971595057219e-07,False
SN2018fuu,351.2358333333333,9.4313,0.06,280.0,Ia,2018/09/01,1.0658159859347658e-07,False
SN2018fva,353.14479166666666,8.752883333333333,0.074,346.0,Ia,2018/08/31,6.979850086645528e-08,False
SN2018fvb,240.0027083333333,-11.091030555555555,0.051,234.0,Ia,2018/08/30,1.5260423204267228e-07,False
SN2018fvh,18.79263333333333,-18.1831,0.073,341.0,Ia,2018/09/06,7.18603841532887e-08,False
SN2018fvi,29.42733333333333,-67.18711388888889,0.040421,184.362,Ia,2018/09/04,2.458416550018313e-07,False
SN2018fvj,67.38007083333332,-11.03095277777778,0.066,307.0,Ia,2018/09/06,8.865873727815216e-08,False
SN2018fvl,315.3010833333333,14.485466666666666,0.0658,305.6,Ia,2018/09/06,8.947291622831664e-08,False
SN2018fvm,309.3657916666666,-37.72136944444445,0.018,80.8,Ia,2018/09/06,1.2798986204980764e-06,False
SN2018fvq,322.8849166666666,-27.2621,0.072754,339.506,Ia,2018/09/06,7.249422056315335e-08,False
SN2018fvr,238.09241666666665,22.932336111111116,0.05273,242.64,Ia,2018/09/06,1.4192976965111307e-07,False
SN2018fvu,300.899125,66.22957777777778,0.03,140.0,II,2018/08/31,4.263263943739063e-07,False
SN2018fvw,315.5842916666667,19.962847222222223,0.04,180.0,Ia,2018/09/03,2.5790115215211616e-07,False
SN2018fvx,87.37249999999999,-19.5558,0.02875,130.02,II,2018/09/06,4.942856122385015e-07,False
SN2018fvy,23.067625,-33.10155833333334,0.036,164.0,Ia,2018/09/06,3.10678068475928e-07,False
SN2018fwi,341.944,-31.25936111111111,0.115,552.1,Ia,2018/09/02,2.7413393381659885e-08,False
SN2018fwn,52.39329166666666,-19.694819444444445,0.044424,203.206,Ia,2018/09/06,2.023602644880404e-07,False
SN2018fy,148.3335,-18.41925,0.012,53.6,II,2018/01/10,2.908497622566468e-06,False
SN2018fyg,41.49733333333333,42.541575,0.038643,176.026,Ia,2018/09/05,2.696774618832465e-07,False
SN2018fzi,354.9471249999999,-23.920225,0.08,380.0,Ia,2018/09/08,5.786701751889586e-08,False
SN2018fzm,315.8325583333333,-51.54668888888889,0.046806,214.469,Ia,2018/09/09,1.8166415324244672e-07,False
SN2018fzn,297.48712499999993,59.59282777777778,0.0375,170.7,IIb,2018/08/29,2.86768371653046e-07,False
SN2018fzw,85.70016666666666,-24.492886111111112,0.044401,203.098,Ia,2018/09/08,2.0257553710894738e-07,False
SN2018fzz,328.37166666666667,-53.981225,0.05,230.0,Ia-91T,2018/09/09,1.579583616205777e-07,False
SN2018gcg,259.0432083333333,1.429513888888889,0.094,445.0,Ia,2018/09/09,4.219667885230937e-08,False
SN2018gcj,6.005916666666666,-1.223377777777778,0.08,380.0,Ia Pec,2018/09/03,5.786701751889586e-08,False
SN2018gck,12.735874999999998,3.498616666666667,0.1,480.0,Ia,2018/08/31,3.6267349521391334e-08,False
SN2018gdg,7.602624999999999,-1.264133333333333,0.0569,262.6,Ia,2018/09/09,1.21173833893309e-07,False
SN2018gdl,10.435833333333331,51.630969444444446,0.034,154.0,Ia,2018/09/03,3.5233586311893075e-07,False
SN2018gea,14.08625,-9.583383333333334,0.103,490.6,IIn,2018/09/09,3.4717081165572616e-08,False
SN2018gec,107.47242916666669,54.968808333333335,0.037136,168.976,Ia,2018/08/25,2.9264980695340774e-07,False
SN2018gem,222.23566666666665,52.59341944444445,0.12,578.0,Ia,2018/09/11,2.5011665717988773e-08,False
SN2018geo,244.55766666666665,39.12381666666667,0.03104,140.61,Ia,2018/09/11,4.2263540509712925e-07,False
SN2018gep,250.9509166666666,41.04538055555555,0.033,150.0,Ic BL,2018/09/09,3.7137765909904723e-07,False
SN2018ges,323.4600416666666,24.334280555555555,0.115,552.1,Ia,2018/09/10,2.7413393381659885e-08,False
SN2018get,113.53779166666664,4.549419444444444,0.004086,18.14,II,2018/09/10,2.53935680032692e-05,True
SN2018gex,322.86908333333326,-50.74981388888889,0.030438,137.823,II,2018/09/10,4.3990094460289904e-07,False
SN2018gfe,244.45154166666669,41.46954722222223,0.0649,301.2,Ia,2018/09/04,9.21060923385758e-08,False
SN2018gff,31.419,19.09217222222222,0.069,321.0,Ia,2018/09/05,8.109390756813851e-08,False
SN2018gfg,314.7905833333333,-14.26318611111111,0.082,385.0,Ia,2018/09/02,5.637373809902893e-08,False
SN2018gfi,14.724679166666665,-24.19632777777778,0.02,90.0,Ia,2018/09/12,1.0316046086084646e-06,False
SN2018gfs,238.01375,30.734919444444447,0.08,380.0,Ia,2018/09/01,5.786701751889586e-08,False
SN2018gft,359.3247916666666,-15.63146388888889,0.23,1180.0,SLSN-I,2018/09/02,6.001147177340249e-09,False
